nohup: ./build/dev/pm2.sh: Permission denied
nohup: ./build/dev/start_mongod.sh: Permission denied
nohup: ./build/dev/start_mongod.sh: Permission denied
2019-04-13T14:51:37.908+0800 I CONTROL  [initandlisten] MongoDB starting : pid=37050 port=27027 dbpath=/Users/gaozhenze/Documents/localbin/mongo/database 64-bit host=didideMacBook-Air-237.local
2019-04-13T14:51:37.910+0800 I CONTROL  [initandlisten] db version v3.4.19
2019-04-13T14:51:37.910+0800 I CONTROL  [initandlisten] git version: a2d97db8fe449d15eb8e275bbf318491781472bf
2019-04-13T14:51:37.910+0800 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 0.9.8zh 14 Jan 2016
2019-04-13T14:51:37.910+0800 I CONTROL  [initandlisten] allocator: system
2019-04-13T14:51:37.910+0800 I CONTROL  [initandlisten] modules: none
2019-04-13T14:51:37.910+0800 I CONTROL  [initandlisten] build environment:
2019-04-13T14:51:37.910+0800 I CONTROL  [initandlisten]     distarch: x86_64
2019-04-13T14:51:37.910+0800 I CONTROL  [initandlisten]     target_arch: x86_64
2019-04-13T14:51:37.910+0800 I CONTROL  [initandlisten] options: { net: { port: 27027 }, storage: { dbPath: "/Users/gaozhenze/Documents/localbin/mongo/database" } }
2019-04-13T14:51:37.911+0800 I -        [initandlisten] Detected data files in /Users/gaozhenze/Documents/localbin/mongo/database created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
2019-04-13T14:51:37.911+0800 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=7680M,session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),checkpoint=(wait=60,log_size=2GB),statistics_log=(wait=0),verbose=(recovery_progress),
2019-04-13T14:51:38.077+0800 I STORAGE  [initandlisten] WiredTiger message [1555138298:77748][37050:0x7fff9fa9a380], txn-recover: Main recovery loop: starting at 12/4608
2019-04-13T14:51:38.180+0800 I STORAGE  [initandlisten] WiredTiger message [1555138298:180296][37050:0x7fff9fa9a380], txn-recover: Recovering log 12 through 13
2019-04-13T14:51:38.244+0800 I STORAGE  [initandlisten] WiredTiger message [1555138298:244685][37050:0x7fff9fa9a380], txn-recover: Recovering log 13 through 13
2019-04-13T14:51:38.462+0800 I CONTROL  [initandlisten] 
2019-04-13T14:51:38.462+0800 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
2019-04-13T14:51:38.462+0800 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
2019-04-13T14:51:38.462+0800 I CONTROL  [initandlisten] 
2019-04-13T14:51:38.470+0800 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/Users/gaozhenze/Documents/localbin/mongo/database/diagnostic.data'
2019-04-13T14:51:38.471+0800 I NETWORK  [thread1] waiting for connections on port 27027
2019-04-13T14:52:18.827+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:65392 #1 (1 connection now open)
